Star#,2021-03-01,2021-03-02,2021-03-11,2021-03-12,2021-03-18,2021-03-19,2021-03-27,2021-03-30,2021-03-31,2021-04-20,2021-05-04,2021-05-06,2021-05-07,2021-05-10,2021-05-11,2021-05-13,2021-05-31,2021-06-04,2021-06-05,2021-06-08,2021-06-10,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-21,2021-06-30,2021-07-02,2021-07-11,2021-07-16,2021-07-17,2021-07-18,2021-07-24,2021-07-25,2021-08-01,2021-08-02,2021-08-09,2021-08-11,2021-08-13,2021-08-15,2021-08-21,2021-08-31,2021-09-01,2021-09-04,2021-09-06,2021-09-07,2021-09-16,2021-09-18,2021-09-19,2021-09-22,2021-09-26,2021-09-27,2021-09-28
885,3390.3412614,3420.6785076,3354.100413,3434.0120489,3449.9020754,3432.1722869,3375.913671,3439.9238999,3402.8702779,3408.6099352,3488.5696337,3510.7793495,3518.8230956,3502.3589528,3478.109679,3490.0083665,3496.9132147,3487.8342325,3492.4481525,3480.1412653,3520.806912,3496.7798587,3593.9632129,3506.9619384,3491.8099379,3367.8308431,3441.4964899,3477.3358016,3492.5020468,3362.1392434,3417.5977419,3417.9899303,3549.1299378,3338.6392107,3484.026599,3432.4262737,3471.2782613,3516.6418607,3528.5561405,3459.137271,3541.4382649,3457.3288437,3489.4134248,3546.7273045,3503.3070845,3479.0071047,3484.6889505,3507.0241887,3409.2368653,3489.336217,3514.3151415,3516.0159559,3431.0903716
886,2520.988405,2530.5487076,2560.8751196,2550.505577,2760.8124968,2649.9813429,2793.4049842,2816.980699,2770.9378217,2656.462428,2723.4839116,2708.4909356,2703.9908878,2641.1719448,2643.2917158,2611.449661,2583.7443278,2705.6789358,2715.4181067,2790.4810973,2846.6359454,2877.0534456,2872.629826,2849.831231,2886.5832179,2872.6929001,2703.675782,2729.5234983,2705.6045442,2808.6616373,2783.9549565,2833.8663618,3061.8709274,2969.0181834,3012.3958692,3096.2943602,2960.7962034,2942.6503802,3006.5610452,2936.4071867,2958.7413955,2933.4947058,3074.40327,2949.5683969,2993.5962328,2909.1562325,2942.0515952,2875.9612234,2934.1968787,2953.6228743,2922.5310386,2903.7654689,2930.8487604
887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
888,3794.6904182,3738.4332408,3814.6233734,3823.6894173,3810.1991875,3705.65848,3634.6110551,3627.893912,3502.7234694,3757.3789245,3753.0087095,3683.245782,3648.1251595,3596.7291988,3552.3785236,3609.7433085,3673.274796,3663.8228545,3651.8546956,3657.4721689,3672.768809,3649.2703054,3704.1939848,3662.3632675,3646.4551471,3615.6934582,3565.1371846,3643.781351,3559.8900833,3509.1015986,3466.0855473,3451.6612409,3500.5954343,3446.5793392,3508.394403,3518.0644839,3627.1227521,3680.8443384,3694.3844539,3668.2104927,3518.7314031,3340.9546089,3378.0428979,3391.9683219,3349.995898,3343.055502,3341.4282574,3401.0696961,3325.6964861,3437.1216652,3384.6713061,3391.4445942,3388.5542714
889,2222.563558,2214.6267692,2233.8879744,2180.2491271,2243.9129412,2252.6186706,2169.1360661,2181.9473412,2280.7204394,2162.6152725,2180.1584509,2196.0094181,2331.4917309,2253.6380531,2257.9009533,2282.0230638,2241.9983044,2202.8723531,2180.7775138,2156.8878262,2224.1332797,2211.681712,2302.0760853,2257.7293557,2193.9387291,2322.1782433,2197.7459796,2257.6983347,2233.616183,2192.9553922,2191.4525605,2174.5016591,2223.9365424,2191.6534585,2191.2494815,2175.9427123,2197.6523614,2226.2653785,2243.3321237,2226.4398255,2248.4085086,2163.1666722,2240.1464154,2243.6105663,2264.0808689,2331.660278,2252.0437158,2222.230599,2302.5036972,2248.4530665,2264.770678,2309.792548,2199.096473
890,3761.7997943,3672.5996655,3746.4506144,3677.1951974,3715.0670614,3751.7302987,3665.7085044,3635.5860762,3813.5151539,3683.7349632,3727.5775569,3619.1764077,3691.9190635,3790.4031831,3787.1993434,3856.7122679,3705.1878085,3670.9259241,3640.6950778,3673.8000425,3645.8480045,3683.5877047,3728.0339847,3770.7502045,3695.8673694,3943.3006356,3728.4904376,3655.4639191,3715.8118393,3663.9099832,3666.3245897,3633.8120806,3512.8428465,3641.191657,3660.6492996,3632.1022624,3612.5863546,3668.2636315,3660.8876731,3672.6940249,3636.9553218,3598.5478803,3674.2341604,3701.8262177,3705.2047144,3623.4920474,3651.1468238,3628.4397226,3688.3219331,3704.0956997,3658.0657965,3688.5202576,3646.7307481
891,3444.175226,3276.4496876,3246.8816831,3225.3182412,3472.2223253,3269.6727348,3176.2038644,3152.513698,3127.8302678,3240.7436938,3219.5529485,3134.8086504,3146.5894399,3186.0749555,3163.6059042,3351.0319078,3191.7759937,3154.6838609,3155.3250768,3156.9636376,3154.9212386,3174.5664362,0.0,3168.9631097,3153.1732874,3125.2684519,3155.1140049,3162.264428,3175.1097565,3173.8718819,3132.4009152,3181.8186581,0.0,3123.2403915,3106.9966665,3092.0738035,3062.6668528,3068.8233957,0.0,3085.1792017,0.0,3047.0904925,0.0,0.0,0.0,3075.4687618,3113.5194971,3080.9270762,3067.8158283,3096.0311196,3090.4811317,3096.1307406,3004.417572
892,3455.2405562,3320.9647529,3156.9797249,3071.6223689,3039.3411979,3076.8751316,3151.0324263,3150.6075544,3017.0286236,3376.0342401,3381.276493,3437.861137,3290.8337833,3273.9163333,3211.4007949,3221.8847683,3132.516784,3149.1450488,3118.6528828,3187.4727867,3242.6160703,3277.5664933,3391.5985278,3394.4613565,3299.1241556,3383.3303388,3199.5870388,3272.8327871,3100.5879136,2970.4500223,2930.90964,2962.1679828,2924.1062996,2907.3960684,2932.0650048,2993.7107215,3044.9294183,3113.5934728,3077.1946961,3123.0120904,3070.2501475,3125.7852646,3330.2574686,3203.5658992,3139.900127,3163.9939815,3006.8269082,2978.7088043,3056.334745,3141.5326101,3064.0162752,3125.1977293,3111.3087015
893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,0.0,nan,nan,nan,0.0,nan,nan,nan,0.0,nan,nan,0.0,nan,0.0,0.0,0.0
894,3163.8972179,3225.1730017,3139.6366525,3119.5066195,3070.482865,3184.2851321,3211.8331941,3172.6539865,3205.1538729,3173.739262,3144.4757848,3165.7318272,3133.3244465,3136.8229533,3073.8957066,3119.4610431,3167.9379672,3211.8901865,3180.9520937,3181.6668011,0.0,0.0,0.0,0.0,3160.5298138,3193.5228618,3105.918796,3062.658787,3112.0530961,3137.177036,3113.279244,3203.2337905,3261.7394064,0.0,0.0,0.0,3120.3420825,0.0,3100.2518578,3160.9247472,3113.4230999,0.0,3144.2669996,3122.800747,3113.1635299,3153.7692156,3201.9598902,3163.6043088,3182.309493,3133.8847118,3194.9616912,3107.7395836,3127.205622
895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
896,4033.8821188,3837.7888137,3846.8467979,3806.5699596,3867.4412549,3896.4675562,3784.0545986,3751.3387222,3268.2514034,3774.7217069,3799.7471025,3779.9751728,3905.7335318,3932.2585839,3869.1261273,4131.0432747,3871.5155791,3852.1422671,3770.603683,3791.9400891,3786.5135587,3824.4966142,3853.0085924,3863.2905109,3813.0167669,3704.119604,3781.5026497,3818.5140522,3862.5579146,3806.3210835,3840.2090967,3899.1240776,3891.3175612,3763.7508597,3801.1477352,3753.0700364,3763.0293005,3823.2902874,3830.4837853,3801.5229222,3885.1950441,3766.4302106,3829.4660556,3846.0262273,3828.6714289,3873.8042994,3899.1087482,3883.6750891,4015.4770358,3893.7950185,3903.581909,3907.2742592,3754.5660369
897,3733.6223726,3750.9691929,3727.6722144,3747.3884392,3853.3553261,3720.712189,3750.6172281,3751.5586567,3718.0916476,3723.4593121,3683.8616579,3701.8159239,3716.0685858,3582.9330086,3562.1105264,3635.8644285,3709.3311967,3756.6430185,3742.5630845,3770.9937039,3801.6227995,3740.2627845,3693.2867901,3567.551824,3650.4559167,3689.3111301,3707.7981474,3815.0760805,3736.5179256,3786.6471943,3768.4433552,3779.3084235,3853.0073115,3787.8083266,3810.7499533,3836.533394,3807.3218253,3765.4048738,3799.1880124,3729.9104912,3886.32745,3714.8766663,3860.8062704,3758.1571106,3833.6643711,3729.0814254,3790.5473331,3804.9609747,3872.5555094,3824.331553,3754.338626,3755.1852603,3688.855627
898,4362.8028096,4304.8001134,4395.623777,4371.6823282,4392.496897,4272.9677942,4365.9676658,4420.2416689,4287.2275574,4432.0581867,4374.9976769,4278.3042556,4347.7916939,4390.0967751,4411.4966759,4481.0732506,4318.4369392,4349.5131149,4303.0396359,4393.3447691,4449.4966524,4424.4710752,4501.6147917,4434.0829865,4403.1305321,4327.2894754,4275.9149395,4351.6149154,4548.9925838,4519.112232,4498.2542819,4473.1764364,4280.9677134,4359.6256936,4429.2385318,4457.3247312,4356.5646755,4349.1171773,4314.3891272,4281.521898,4295.3115188,4424.9301623,4561.5509238,4506.4050982,4461.9310503,4393.9713759,4256.6624868,4259.8762123,4233.803598,4265.6555095,4300.1808915,4324.4783004,4266.5644958
899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900,3104.6348559,3154.9277793,3162.7947387,3196.9477234,3129.7046568,3170.7647104,3153.5046573,3158.3352742,2805.5458639,3130.1560524,3207.6064414,3155.1044046,3171.9267139,3295.5279462,3305.2845331,3231.9207946,3208.9329851,3184.1234569,3185.5469655,3191.7712534,3241.2241776,3237.9051075,3335.6079099,3314.4300327,3217.2496117,3217.4998229,3210.3174785,3231.9525678,3215.0743762,3129.4849915,3189.7496795,3287.4684759,3286.4692088,3145.5313485,3224.171177,3179.6316121,3178.6226858,3242.0936472,3301.5812823,3237.2257062,3309.8858149,3220.2567697,3273.2764196,3303.0483183,3255.8753529,0.0,3211.5416257,3253.1069784,3139.2410272,3267.0769863,3236.5610257,0.0,0.0
901,2918.4535208,2875.1346976,2877.3658893,2891.7799945,2972.505878,2892.7280013,2870.2000615,2878.368401,2991.8522706,2909.772016,2912.7538366,2964.4297732,2959.3320295,2843.5190749,2834.4861965,2879.1134379,2928.4624717,2917.3156947,2928.2152044,2920.4405581,2914.2362154,2903.0757946,2904.6702496,2881.4786984,2916.5660178,2946.5137086,2918.6291081,2989.2694103,2955.3935029,2921.7437891,2907.8638495,2873.4132589,2851.1129792,2933.4431871,2878.0613219,2875.4302422,2925.2493667,2877.7650677,2926.0292321,2947.4734722,2851.3703159,2913.6449889,2973.4287888,2936.2847991,2997.5846539,2921.4467496,2923.0823719,2884.1470601,2905.8184811,2860.4010827,2850.5128784,2853.5142065,2883.8583675
902,3458.2768759,3452.4713685,3495.3146425,3483.1261679,3413.9981904,3431.6439771,3492.0989826,3532.6057098,3313.5445443,3454.9668469,3464.5191539,3501.2001892,3434.6980728,3501.5630942,3472.6119991,3526.2403657,3463.3429452,3428.5540689,3433.586862,3456.5430258,3510.247431,3451.3624593,3526.7431845,3487.6136576,3453.4072792,3401.7147873,3497.8679299,3526.5206336,3472.1531582,3461.183328,3508.0578824,3543.3906281,3622.3661222,3428.3317472,3425.9895931,3478.8194846,3415.9152525,3441.6278649,3528.1719646,3529.4002725,3625.9292486,3443.6612185,3532.0569172,3503.200571,3492.4940384,3479.9330722,3499.1712223,3549.5932483,3480.319801,3530.3572171,3489.4573637,3396.8861195,3420.8823291
903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,0.0,nan,nan,nan,0.0,nan,nan,nan,0.0,nan,nan,0.0,nan,0.0,0.0,0.0
904,3633.7388485,3583.5699992,3602.6395775,3535.2719343,3592.4697325,3543.2290927,3355.4961486,3299.9723217,3586.4557041,3227.0111327,3242.6886097,3251.7652297,3218.9757685,3284.3242114,3286.290029,3360.1853416,3277.0415988,3258.9002237,3207.7703459,3162.7493863,3118.2107502,3130.4798831,3110.4334513,3105.2524354,3072.6173621,3256.5093705,3140.7142807,3207.7303022,3123.5329292,3217.4054708,3234.9520778,3226.8732347,3431.5449506,3393.8500847,3401.1033274,3426.0432711,3404.449468,3431.5573422,3418.2619002,3451.4354375,3404.4962711,3286.6527815,3412.5136758,3222.4943494,3204.1313329,3148.5389074,3035.9243355,2944.6604537,3009.6278475,3049.9108786,2952.7309129,2942.6696676,2914.2041501
905,3397.1658149,3286.2176752,3372.8910791,3271.1827636,3431.4532205,3363.1634918,3369.3368736,3310.8034611,3716.1177666,3366.442775,3336.2349372,3380.8586701,3300.0016597,3376.3405004,3366.3348552,3349.5214524,3338.1698095,3300.3694677,3300.7925046,3318.7066198,3347.5244493,3342.3436305,3380.5676693,3359.434271,3302.7431821,3547.086646,3218.0347494,3287.6455041,3407.1985781,3369.5677536,3313.4844499,3316.7737848,3388.2569646,3328.1182579,3213.7288449,3243.3937713,3327.5894321,3303.9114996,3302.0059123,3258.5004285,3320.1096593,3213.2420977,3331.8218972,3274.5356048,3342.6863727,3277.9601824,3228.6913712,3226.7823071,3214.5353035,3281.6839898,3339.4357995,3270.5512673,3238.8816882
906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan
907,3154.3873796,3133.3167109,3183.0124328,3152.5402054,3031.4467698,3186.0405019,3207.0718267,3229.3487308,3164.87993,3115.2072671,3217.8788144,3313.4252764,3244.1682165,3253.2651963,3244.1327439,3256.6167785,3254.135165,3259.4848025,3249.0260581,3270.6257274,0.0,3273.8345835,0.0,3273.8879981,3258.5188047,3257.531908,3292.1660535,0.0,3277.1441283,3299.4725832,3290.0589774,3353.8397524,0.0,3294.0728658,3249.8194394,3254.9016913,3289.80285,3272.263634,0.0,3314.4858465,0.0,3301.5735193,0.0,0.0,0.0,3292.906217,0.0,3372.5960136,3303.9464234,3314.4367267,3290.248508,3365.9494856,3350.5058621
908,2841.0914151,2825.59716,2937.4909806,2933.3765502,2950.6558133,2842.6182842,2643.3303283,2561.4917315,2484.0389943,2551.0583445,3126.815452,3185.7840444,3118.6773809,3178.6869038,3174.0030341,3117.8361787,2636.4542765,2533.5599052,2483.4491512,2476.0867937,2447.9268658,2448.3664644,2527.4861807,2497.2497675,2434.9841782,2551.3781834,2750.1771195,2811.8858653,2982.1667629,3020.8457113,3083.5958056,3182.6945888,2975.5639742,2864.2961298,2620.9004748,2615.5851435,2449.5449321,2467.0015536,2514.4074931,2467.7573362,2507.3261668,2649.7093185,2773.4219876,2684.2341214,2639.8431462,2660.8869365,2660.5078949,2699.3230524,2684.8468925,2718.6073102,2556.9563749,2586.4053973,2469.6527467
909,3428.8587394,3405.4649703,3437.7381851,3297.8812983,3344.2412959,3346.4832852,3340.6826142,3308.7607499,3157.9100934,3329.2850353,3376.7057852,3287.3183404,3273.113788,3425.0465748,3400.0434623,3460.2034994,3306.715023,3241.7509352,3244.3142543,3292.9383415,3317.0813513,3298.9316834,3357.5192466,3350.7265143,3297.9193985,3330.1552631,3313.7200064,3351.8385444,3312.2685322,3333.4935407,3341.2010974,3497.3451406,0.0,3274.1055269,3251.3194886,3250.8341272,3255.3866775,3256.8847136,0.0,3225.6432571,0.0,3218.969934,0.0,0.0,0.0,3297.7970097,3366.0785842,3437.6214068,3292.2372932,3301.1676607,3208.1077437,3248.2473342,3258.27588
910,3062.1837329,3083.4574546,3104.9143825,3055.5744359,3117.9112638,3074.8165759,3065.1014554,3056.4116323,3104.7740254,3065.1761099,3070.4966556,3027.3280746,3052.3246646,3120.2051758,3131.0579007,3088.5825449,3088.2896211,3084.4005247,3089.4613105,3087.2658461,3117.047514,3085.3714458,3125.6399943,3113.6257563,3058.1742773,3154.1910874,3078.0669075,3106.6252155,3073.7585056,3060.4548657,3063.8930045,3085.0656585,3137.1631218,3078.93681,3069.9340203,3040.6257151,3090.9495745,3073.4821957,3134.2605889,3069.4333765,3171.1317219,3058.4975015,3093.816793,3124.1511634,3130.1778897,3108.2792384,3118.8628424,3136.6247032,3074.6850949,3080.2828624,3097.8703135,3050.0506672,3089.8870131
