Star#,2022-06-16,2022-06-17,2022-06-19,2022-06-20,2022-06-23,2022-06-26,2022-06-27,2022-07-01,2022-07-09,2022-07-17,2022-07-19,2022-07-28,2022-07-29,2022-07-30,2022-08-03,2022-08-04,2022-08-16,2022-08-21,2022-08-23,2022-08-29,2022-08-30,2022-08-31,2022-09-07,2022-09-20,2022-09-21,2022-09-25,2022-09-26,2022-09-27,2022-09-29
392,9298.4399137,9360.4674566,9570.1895061,9334.4630434,9445.9519888,9411.0213431,9423.753723,9377.8163668,9298.4283852,9405.4299588,9269.1875575,9275.5021146,9268.1035834,9431.7427603,9517.7535068,9363.3476546,9377.4401026,9357.3817414,9337.3204756,9446.6798687,9384.6412696,9510.2986062,8635.9283891,9347.9511444,9376.9277197,9497.1420371,9436.987418,9329.7425681,9240.0699885
393,9092.943245,8985.3192053,9210.7992403,9118.3219512,9122.1464772,9183.705597,9058.8854162,9142.7777555,9100.7072184,9202.0562548,9079.9697134,9150.830901,9134.8742534,9273.5653308,9224.8269522,9230.9670127,9290.2736509,9252.443242,9225.5976628,9196.0337667,9231.1021485,9285.7638167,9013.5411514,9174.8388659,9168.2457955,9304.0490824,9328.3879748,9315.6462454,9328.4074233
394,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
395,8561.5711104,8566.0364168,8562.7794674,8650.9716075,8627.7255037,8877.3605861,8641.869406,8630.8815893,8665.9272357,8632.0697592,8629.4186691,8550.1873219,8649.3507621,8722.5881495,8854.238207,8708.0248953,8688.3727889,8681.6522634,8670.093009,8663.9243418,8783.9299244,8785.8950309,8693.584783,8569.6302877,8546.3667952,8535.8299786,8586.0141146,8602.5715499,8613.5475131
396,8389.813011,8347.8467274,8320.3044723,8345.7315259,8425.7644034,8798.4968354,8399.7420315,8442.8983012,8237.6851292,8290.3775107,8512.9371451,8440.4909137,8291.3072989,8581.4762543,8341.3843365,8272.1604868,8217.257613,8209.1823051,8262.1217429,8424.3298329,8461.9301375,8323.0465802,7878.131344,8299.8488819,8324.8010492,8373.2559722,8332.6616602,8143.9760774,8215.1704351
397,7683.6210869,7636.4164461,7667.7009178,7664.1717582,7753.6355671,7787.0322795,7722.6815836,7696.0196967,7634.1921811,7679.2276533,7720.9972881,7698.8847748,7587.2741227,7716.5488815,7668.5722214,7645.0722272,7672.943274,7674.6164003,7653.5488701,7771.0179906,7726.0535597,7758.9839835,7190.7634955,7742.5530899,7675.4589673,7756.5058022,7727.7845158,7731.3399091,7663.6553188
398,8934.3648338,9005.5664078,9206.3084164,9045.5886654,9081.8966505,8996.70108,9102.1928227,8966.6337502,8867.1655526,9215.0599121,8968.5469218,9036.9485276,8918.9705998,9383.3549799,9103.9164382,9002.5726409,9030.8689723,8972.7238701,9039.5413875,9254.9441087,9130.8190762,9206.4883709,8763.2219898,9287.1439914,9272.4106171,9353.6219742,9269.3625331,9153.9686665,9199.412441
399,9480.3991393,9387.2822502,9415.5027251,9348.2810349,9408.1534644,9496.5620184,9386.8461541,9406.9250699,9345.6479005,9518.8902824,9466.583516,9442.1035825,9428.938062,9489.1830922,9568.9659602,9490.764516,9502.9083301,9443.5635681,9472.9544318,9671.7835839,9500.6819566,9602.3442435,9338.1609114,9575.6826545,9598.6640647,9593.3090711,9584.9096802,9410.5199203,9376.4623807
400,9162.0465241,9114.284293,9179.125294,9102.0255903,9060.8129825,9125.5264116,9137.1787764,9184.5382388,9069.2198017,9307.0964385,9161.2782341,9182.3824211,9110.3612506,9219.9169661,9100.3735989,9120.9522095,9206.6708284,9168.5123766,9277.2321816,9331.3162816,9087.5770547,9246.3675191,9175.6241152,9313.1604863,9248.0050465,9265.0210802,9238.3672168,9236.4236077,9268.5389749
401,nan,nan,0.0,0.0,0.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
