ObservedAt:	2006-08-23T03:04:41
Star Data Extractor Tool: (Note: This program mocks format of AIP_4_WIN) 
	Image m23_10.0-0001.fit
	Total no of stars: 3745
	Radius of star diaphragm: 3, 4, 5
	Sky annulus inner radius: 
	Sky annulus outer radius: 
	Threshold factor: 
               X               Y           XFWHM           YFWHM        Avg FWHM         Sky ADU      Star ADU 3      Star ADU 4      Star ADU 5
          961.56           32.59          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          298.65          733.54          2.9535          2.6550          2.8043          625.63        29126.63        30901.24        31625.04
          678.51          191.63          2.9579          3.0638          3.0109          628.19        22581.66        24788.82        25385.34
          275.12          615.34          2.5839          2.4227          2.5033          628.58        28126.31        29240.19        29501.28
          707.20          889.39          2.9922          3.2506          3.1214          595.82        29004.40        31468.72        32315.44
          356.97           49.40          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          485.04          730.37          2.6808          2.7310          2.7059          621.28        26770.86        28227.39        28463.45
          594.04          366.56          2.9129          3.1187          3.0158          622.29        24283.58        27058.50        28071.35
          366.23          999.16          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          924.34           70.16          7.5005          6.7879          7.1442            0.00            0.00            0.00            0.00
          651.13          720.43          2.9439          2.8796          2.9118          606.57        14789.09        15801.60        16020.47
          392.25          493.13          2.4518          2.8577          2.6548          629.63        23571.53        24998.39        26272.64
          231.15          634.28          2.6545          2.9040          2.7793          631.75        25453.62        26680.42        28572.30
          532.33          525.92          2.7275          2.5793          2.6534          612.48        27139.51        28148.34        28736.21
          111.95          324.03          3.4410          2.3982          2.9196          642.35        26548.38        28616.68        29253.19
          595.88          749.30          2.9013          2.9583          2.9298          609.74        25956.35        27657.55        28136.24
          456.98          404.53          2.7276          2.2915          2.5096          634.28        28081.44        29120.90        29350.92
          868.24          102.15          3.5873          3.1337          3.3605          646.14        14772.29        15888.56        16247.16
          880.89          565.81          3.3634          3.0454          3.2044          602.09        24119.02        26065.51        27978.55
          100.44          737.07          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          581.93          446.43          2.6398          2.3648          2.5023          621.96        24950.23        25757.03        25938.91
          100.25          737.01          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          804.80          117.48          2.7350          3.3354          3.0352          645.94        17162.76        18916.72        19438.33
          234.49           23.63          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          804.79          117.64          3.0645          3.2616          3.1631          645.94        17717.57        19100.04        19518.30
          161.09           60.05          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          704.56          736.02          3.1187          3.2418          3.1803          604.23        13283.17        14159.50        14371.65
          224.26          945.06          3.1793          3.2416          3.2105          625.88        12006.92        12874.97        13258.16
          478.43          590.33          2.8817          3.1474          3.0145          622.27         6232.79         6554.13         6685.13
          702.92          270.43          3.1415          3.0112          3.0763          620.92        22471.50        24263.92        24740.77
          519.55          715.41          2.8798          3.0560          2.9679          612.83        22568.64        23893.78        24822.24
          987.33          831.71          1.7773          2.0438          1.9105          581.42         2816.42         3012.43         2980.29
          879.32          431.55          3.2492          2.5471          2.8981          607.57        22482.13        24315.19        24923.06
          817.14          269.74          2.9907          2.9995          2.9951          612.98        22956.14        24412.59        24926.87
          849.45          852.27          3.2572          3.8296          3.5434          595.15        20609.02        22803.59        23522.13
           79.12          377.45          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          687.04          850.47          3.2426          3.1315          3.1870          595.00        19780.18        21249.06        21798.47
          517.32          230.13          3.7675          4.1535          3.9605          625.67         2713.72         2890.97         3128.67
          273.41          457.53          3.2523          3.0215          3.1369          638.09        21796.41        23781.86        24706.49
          664.76          237.75          3.1013          3.0358          3.0686          620.87        21156.78        22661.44        23205.19
          583.63          470.08          2.5498          2.3177          2.4337          621.91        20333.63        20878.24        20970.90
          426.85          431.43          2.5309          2.0193          2.2751          632.61        22930.65        23605.35        23668.54
          771.51          330.42          3.2327          4.6716          3.9521          611.61        18690.88        21856.58        23831.99
          897.84          360.60          3.1424          2.8877          3.0150          609.60        20017.00        21359.79        21754.25
          322.50          690.80          2.6520          2.6104          2.6312          625.37        21347.78        22456.81        22595.69
          667.85          344.71          2.9058          2.7914          2.8486          619.33        19061.92        20145.92        20546.07
          277.14          101.20          3.8617          3.0581          3.4599          674.91        21939.54        23973.40        24907.38
          579.38          239.60          3.0530          2.8668          2.9599          625.54        17551.85        18503.12        18911.46
          661.29          104.74          2.8868          3.1257          3.0062          647.82        17338.10        18406.65        18836.53
          334.64          902.34          3.2430          3.5628          3.4029          621.79         2908.01         3120.90         3123.83
          825.47          105.64          3.8410          4.1057          3.9733          646.01         1016.12         1154.15         1214.47
          334.66          902.32          3.2390          3.5516          3.3953          621.79         2908.01         3120.90         3123.83
          874.43          490.06          2.9881          2.3329          2.6605          603.11        18190.80        19500.01        19710.09
          344.57          611.33          2.6633          2.7072          2.6853          628.72        21916.15        22855.65        23206.50
          769.83          831.99          3.2964          3.3691          3.3328          594.99        16804.44        18130.80        18446.24
          444.25          301.11          2.6933          2.7293          2.7113          631.71        20633.01        21426.89        22507.28
          354.46          605.53          3.3557          2.7060          3.0308          629.81        17899.62        19749.12        20542.06
          359.46          487.98          2.9256          2.9468          2.9362          634.14        11826.91        12175.54        12650.25
          556.79          271.58          2.7755          2.6569          2.7162          622.57        17943.03        18924.61        19302.49
          507.47          233.21          2.5184          2.8171          2.6677          631.27        20088.98        20792.73        20982.99
          466.96          488.59          2.7415          2.3830          2.5622          629.30        19551.97        20094.42        20274.15
          463.49          428.29          2.5733          2.1333          2.3533          632.56        20353.24        21139.18        21314.69
          730.32          741.81          6.5932          0.0000          3.2966          602.76          224.08          180.91          124.57
          729.98          663.27          2.6497          3.9905          3.3201          609.69         1250.39         1534.67         1602.12
          324.69          509.09          2.4498          2.5011          2.4755          634.15        13051.84        13492.83        13710.78
          684.89          671.28          2.1658          3.7045          2.9351          610.92         1845.20         1893.03         2008.37
          284.03          806.53          3.4132          3.0748          3.2440          622.64         4870.71         5139.22         5068.57
          341.53          728.34          2.4686          2.6739          2.5712          625.55        18793.61        19859.37        20002.27
          359.40          715.63          2.5976          2.8126          2.7051          625.47        18404.22        19183.21        19882.98
          359.39          716.23          2.5953          2.9201          2.7577          625.47        18404.22        19183.21        19882.98
          941.58          514.94          3.1422          2.9018          3.0220          601.23        14840.68        15792.88        16035.44
          359.49          716.04          2.6278          2.8107          2.7192          625.47        18404.24        19183.23        19883.02
          807.33          632.47          0.0000          0.0000          0.0000          603.84           23.88          -25.15         -117.53
          233.51           94.97          7.3686          6.4571          6.9129            0.00            0.00            0.00            0.00
          820.03          511.81          3.2393          2.6606          2.9500          603.42        13746.17        14413.91        14693.80
          246.46          847.51          3.9141          2.9374          3.4258          624.47         3137.29         3418.27         3840.57
          276.49          734.51          3.1028          2.9703          3.0365          625.53        17026.89        18072.12        18400.31
          837.85          847.19          3.2724          3.2307          3.2515          595.19        16700.19        17883.33        18315.92
          165.38          837.32          3.0241          2.6334          2.8287          624.63        10541.68        10924.22        10911.96
          606.06          468.01          2.6754          2.1556          2.4155          621.93        17660.61        18084.72        18064.38
          239.44          785.55          3.5802          2.8059          3.1931          625.48        17325.10        18466.37        18875.37
          988.72          296.19          5.3823          6.5601          5.9712            0.00            0.00            0.00            0.00
          429.19          544.69          2.9495          4.2239          3.5867          625.41        13087.99        13965.72        15029.82
          388.22          935.22          3.7102          2.9714          3.3408          610.92         4658.90         5068.57         5422.03
          480.98          712.41          2.4521          2.8586          2.6553          621.33        16783.61        17587.04        17520.47
          306.37          735.52          3.1419          2.6424          2.8921          625.43         9512.07         9956.99        10164.02
          363.87          185.17          0.0000          3.1538          1.5769          646.21         3437.08         3798.80         3851.06
          762.01          724.84          3.0613          3.0188          3.0400          606.38        14648.35        15671.29        15985.54
          306.61          735.72          2.9519          2.9251          2.9385          625.43         9325.06         9838.86        10143.99
           70.17          480.44          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          334.68          940.77          3.0023          3.2188          3.1106          620.31         8470.44         9064.73         9195.06
          334.69          940.71          3.0080          3.1734          3.0907          620.31         8470.44         9064.73         9195.06
          347.42           34.01          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          431.63          133.56          2.7706          3.6646          3.2176          646.60        13812.85        15768.75        16924.56
          316.08          742.53          3.0579          2.9502          3.0041          625.09        16544.62        17564.06        17855.90
           22.02          177.65          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          438.33          545.37          2.5368          2.3604          2.4486          624.94        15768.01        16445.34        16562.39
          399.07          186.59          3.6469          6.2891          4.9680          638.01         9833.88        11630.26        18531.26
          203.93          408.90          0.0000          0.0000          0.0000          635.14          270.55          270.05          225.93
          885.47          645.02          3.1572          3.0110          3.0841          602.71        13613.66        14878.82        15265.42
          112.40          812.58          0.0000          2.9976          1.4988          635.05        14932.30        16165.90            0.00
          942.91          343.49          2.9859          2.8342          2.9101          612.66         6648.04         7304.25         7519.18
          685.03          468.68          6.7891          4.6191          5.7041          621.46          428.56          558.81          959.06
          896.02          850.74          3.6082          3.6659          3.6370          583.22        13017.73        14780.93        15839.70
          911.03          154.42          3.2493          2.9507          3.1000          629.76        12912.73        14090.60        14302.78
          621.28          138.51          2.8278          2.9995          2.9137          639.83        12983.20        13854.55        14215.58
