StarNumber	20r	20i	20r-20i	E	22r	22i	22r-22i	mean r-i	22b	22v	22b-22v	M	20b	20v	20b-20v	Q	catalogue v	catalogue b-v	catalogue b	U	catalogue v - 22v	catalogue v - 20v	X	catalogue b - 22b	catalogue b - 20b	22v-20v
16	9.5228	9.2852	0.23756		9.6832	9.5229	0.16033	0.19895	10.351	9.9529	0.39785		10.285	9.8955	0.38913		9.96	0.34	10.3		0.0071077	0.064466		-0.050747	0.01534	0.057359
17	9.5547	9.3451	0.20961		9.7085	9.5584	0.15011	0.17986	10.333	9.9502	0.38258		10.274	9.9066	0.36711		9.75	0.32	10.07		-0.2002	-0.1566		-0.26278	-0.20371	0.043599
18	9.5702	9.282	0.28816		9.7009	9.4953	0.20552	0.24684	10.447	10.001	0.44621		10.425	9.974	0.45077		9.84	0.41	10.25		-0.16053	-0.134		-0.19674	-0.17476	0.02654
19	9.5081	9.284	0.22411					0.22411									9.73	0.32	10.05							
20																	9.83	0.32	10.15							
21	9.5502	9.2036	0.34653		9.6968	9.4202	0.27659	0.31156	10.744	10.096	0.64837		10.696	10.034	0.66208											0.061215
22	9.5953	9.2974	0.29798		9.7783	9.5477	0.23059	0.26428	10.532	10.068	0.46399		10.473	10.003	0.47069		9.91	0.41	10.32		-0.15811	-0.092709		-0.2121	-0.15339	0.065401
23	9.6298	9.3702	0.25964		9.7668	9.5684	0.19848	0.22906	10.467	10.05	0.4171		10.417	10.019	0.39781											0.030444
24	9.7	9.3892	0.3108		9.8409	9.5982	0.24266	0.27673	10.61	10.142	0.46804		10.546	10.092	0.4543		9.98	0.4	10.38		-0.16224	-0.11172		-0.23028	-0.16602	0.050522
25	9.8249	9.6538	0.17114		9.9839	9.8785	0.10544	0.13829	10.528	10.188	0.34026		10.471	10.135	0.3352		10.01	0.26	10.27		-0.17779	-0.12535		-0.25805	-0.20055	0.052444
26	10.002	9.733	0.26916		10.143	9.9529	0.19005	0.2296	10.817	10.375	0.44201		10.776	10.362	0.41337		10.26	0.34	10.6		-0.11464	-0.10237		-0.21665	-0.17574	0.012269
27	10.03	9.8017	0.22778		10.238	10.067	0.17082	0.1993	10.856	10.468	0.38805		10.757	10.378	0.37893		10.27	0.33	10.6		-0.19823	-0.10817		-0.25629	-0.1571	0.09006
28	10.046	9.8428	0.20356		10.197	10.065	0.13214	0.16785	10.812	10.421	0.39094		10.75	10.367	0.38295		10.27	0.31	10.58		-0.15106	-0.097195		-0.232	-0.17014	0.053866
29	10.096	9.8655	0.23023		10.238	10.08	0.15851	0.19437	10.861	10.5	0.36075		10.825	10.46	0.36454		10.32	0.32	10.64		-0.17983	-0.14027		-0.22058	-0.18481	0.039565
30	10.075	9.8262	0.24914		10.291	10.1	0.19126	0.2202	11.05	10.589	0.4609		10.948	10.479	0.4689		10.37	0.44	10.81		-0.21931	-0.10915		-0.24021	-0.13805	0.11017
31	10.11	9.8641	0.24562		10.242	10.062	0.17957	0.2126	10.919	10.514	0.40491		10.879	10.469	0.40997		10.34	0.37	10.71		-0.17416	-0.1292		-0.20907	-0.16917	0.044962
32	10.075	9.7873	0.2873		10.207	9.9784	0.22883	0.25807	10.967	10.511	0.45546		10.929	10.466	0.46277		10.34	0.42	10.76		-0.17124	-0.12573		-0.20669	-0.16851	0.045504
33	10.154	9.8965	0.25778		10.321	10.138	0.18355	0.22067	11.015	10.597	0.41805		10.943	10.528	0.41512		10.4	0.37	10.77		-0.19678	-0.12758		-0.24483	-0.1727	0.069203
34	10.155	9.3534	0.80156		10.312	9.5908	0.72168	0.76162	12.584	11.136	1.4477		12.526	11.08	1.4463											0.055948
35	10.186	9.9566	0.22983		10.334	10.179	0.15445	0.19214	10.914	10.578	0.3358		10.867	10.512	0.35477		10.38	0.31	10.69		-0.19804	-0.13203		-0.22384	-0.1768	0.066011
36	10.204	9.9996	0.20418		10.325	10.191	0.13423	0.1692	10.908	10.568	0.33976		10.885	10.51	0.37525		10.39	0.32	10.71		-0.17827	-0.11996		-0.19803	-0.17521	0.058313
37	10.195	9.9608	0.234		10.319	10.147	0.17187	0.20293	10.988	10.605	0.38274		10.954	10.567	0.38691											0.038212
38																	12.81	0.64	13.45							
39	10.278	10.09	0.18805		10.351	10.218	0.13257	0.16031	11.03	10.622	0.40881		11.001	10.632	0.3688		10.47	0.33	10.8		-0.15153	-0.16224		-0.23034	-0.20104	-0.010708
40	10.272	9.6266	0.64541		10.448	9.8896	0.55868	0.60205	12.346	11.123	1.2235		12.235	11.037	1.1979											0.085653
41	10.242	9.9233	0.31899		10.385	10.153	0.23138	0.27519	11.363	10.761	0.60245		11.316	10.708	0.60777		10.67	0.57	11.24		-0.090769	-0.038131		-0.12322	-0.075897	0.052638
