star	x_fwhm	y_fwhm	avg_fwhm
1072	3.306	2.06015	2.06015
1073	2.7874	2.59235	2.59235
1074	5.436	3.7613	3.7613
1075	3.8377999999999997	3.3027	3.3027
1076	3.8625	6.9746	6.9746
1077	0.0	0.0	0.0
1078	3.1745	1.75455	1.75455
1079	3.41965	2.9341999999999997	2.9341999999999997
1080	4.1254	4.4565	4.4565
1081	0.0	0.0	0.0
1082	5.3028	2.6355	2.6355
1083	6.0403	4.222	4.222
1084	6.4409	3.8731	3.8731
1085	4.3025	4.16325	4.16325
1086	5.7885	2.47655	2.47655
1087	0.0	0.0	0.0
1088	6.0188	2.053	2.053
1089	3.68045	3.5047	3.5047
1090	4.4305	4.0105	4.0105
1091	3.4972	3.5512	3.5512
1092	2.5249	2.8913	2.8913
1093	6.0397	4.1657	4.1657
1094	2.4893	3.6401	3.6401
1095	5.2752	3.1783	3.1783
1096	2.2232	3.9992	3.9992
1097	4.0863	3.5698	3.5698
1098	4.179	3.91845	3.91845
1099	5.2752	3.3467	3.3467
1100	4.5652	3.6658	3.6658
1101	1.5172	0.0	0.0
1102	0.0	0.0	0.0
1103	3.5424	0.87895	0.87895
1104	4.1901	3.4482	3.4482
1105	0.0	0.0	0.0
1106	3.3746	3.4451	3.4451
1107	3.8132	6.8806	6.8806
1108	2.8608	2.7374	2.7374
1109	5.849	2.2478	2.2478
1110	5.663	2.4112	2.4112
1111	3.9955	2.36685	2.36685
1112	4.85245	3.6392	3.6392
1113	2.6181	4.0134	4.0134
1114	6.1078	5.412	5.412
1115	3.8343	2.924	2.924
1116	3.9693	3.30965	3.30965
1117	4.9700500000000005	4.2646	4.2646
1118	3.6965	3.1964	3.1964
1119	3.4851	2.3509	2.3509
1120	2.6719	3.3878000000000004	3.3878000000000004
1121	4.2932	3.3682	3.3682
1122	2.919	3.8948	3.8948
1123	3.2081	3.65625	3.65625
1124	5.863899999999999	2.4179500000000003	2.4179500000000003
1125	4.9424	3.6451000000000002	3.6451000000000002
1126	0.0	0.0	0.0
1127	4.025	3.45465	3.45465
1128	3.0671	2.4757	2.4757
1129	5.32175	4.3379	4.3379
1130	3.5013500000000004	4.6240000000000006	4.6240000000000006
