star	x	y
1144	639.03	138.07
1145	415.04	105.59
1146	167.12	497.63
1147	894.98	303.09
1148	789.0	694.05
1149	190.88	508.73
1150	407.17	867.25
1151	789.0	694.04
1152	592.0	517.94
1153	529.6	952.41
1154	652.01	820.93
1155	834.48	738.53
1156	838.85	872.18
1157	303.11	644.05
1158	960.18	442.93
1159	245.89	645.76
1160	302.28	959.1
1161	865.9	325.49
1162	326.52	916.9
1163	448.75	151.07
1164	318.11	74.37
1165	163.96	603.43
1166	448.75	151.07
1167	709.74	447.01
1168	574.99	938.03
1169	278.56	608.13
1170	832.46	397.14
1171	135.2	785.6
1172	194.56	198.56
1173	554.04	514.68
1174	245.78	645.78
1175	784.97	879.95
1176	90.02	797.02
1177	135.06	785.65
1178	946.84	104.52
1179	853.25	859.12
1180	162.37	292.16
1181	135.06	785.64
1182	633.88	562.19
1183	709.93	447.01
1184	553.46	470.46
1185	280.95	316.79
1186	1001.86	461.44
1187	865.94	325.19
1188	373.99	148.98
1189	49.37	367.57
1190	414.04	161.04
1191	264.06	749.44
1192	660.59	189.12
1193	739.31	300.09
1194	519.05	930.91
1195	271.88	892.33
1196	769.91	77.46
1197	147.63	561.26
1198	1001.81	461.16
1199	1001.83	461.15
1200	638.02	418.96
1201	177.83	221.07
1202	647.11	596.06
1203	100.25	92.81
1204	271.87	892.19
1205	720.22	102.22
1206	317.76	121.87
1207	446.29	33.8
1208	100.26	92.81
1209	203.62	101.81
1210	588.65	639.06
1211	606.23	942.26
1212	147.82	561.22
1213	403.06	928.95
1214	300.83	479.85
1215	147.8	561.39
1216	261.81	947.23
1217	108.23	681.18
1218	796.7	451.93
1219	789.31	362.07
1220	269.46	867.89
1221	819.91	994.05
1222	706.71	366.93
1223	462.7	876.9
1224	393.52	639.07
1225	108.01	935.91
1226	439.89	921.72
1227	160.56	812.93
1228	375.94	32.8
1229	241.13	994.21
1230	393.39	639.09
1231	338.66	249.88
1232	969.97	747.65
1233	160.43	813.02
1234	308.86	717.79
1235	125.98	551.98
1236	363.33	821.61
1237	581.5	847.3
1238	579.57	299.12
1239	171.7	550.73
1240	631.18	514.37
1241	497.68	493.97
1242	563.9	625.23
1243	468.0	841.96
1244	189.01	128.58
1245	989.76	34.93
1246	956.01	95.63
1247	888.02	66.08
1248	956.01	95.63
1249	969.89	747.93
1250	470.67	296.12
1251	605.8	791.52
1252	812.48	157.95
1253	656.08	602.67
1254	551.55	462.94
1255	413.06	353.98
1256	378.02	441.64
1257	360.51	921.92
1258	574.85	649.14
1259	390.37	537.04
1260	1002.2	948.25
1261	654.26	259.16
1262	790.15	846.55
1263	538.07	885.92
1264	89.92	902.79
1265	605.62	791.52
1266	605.62	791.52
1267	519.6	423.45
1268	759.27	94.02
1269	134.09	669.95
1270	302.99	516.12
1271	845.99	1009.25
1272	952.72	218.29
1273	66.15	420.05
1274	857.31	884.93
1275	345.97	703.41
1276	157.11	684.84
1277	897.94	161.34
1278	612.03	790.69
1279	819.89	994.39
1280	690.32	657.91
1281	39.99	87.35
1282	172.1	753.98
1283	310.18	88.71
1284	280.99	162.61
1285	245.06	974.45
1286	40.03	87.11
1287	714.08	44.22
1288	946.37	961.16
1289	331.59	185.99
1290	658.52	532.01
1291	854.04	675.07
1292	464.59	224.94
1293	460.64	368.19
1294	168.67	296.96
1295	680.45	838.43
1296	436.21	321.0
1297	215.36	754.12
